ar,sveitarfelag,hluti,heildarskuldir,eignir,tekjur,gjold,afskriftir,fjarmagnslidir,eigid_fe,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,skammtimaskuldir,veltufe,mannfjoldi,nettoskuldir,skuldir_hlutf_tekjur,nettoskuldir_hlutf_tekjur,veltufjarhlutfall,eignahlutf,rekstrarnidurstada,rekstrarnidurstada_hlutf,framlegd,framlegd_hlutf,eiginfjarhlutfall,skuldahlutfall,skuldir_per_ibui,veltufe_hlutf_tekjur
2020,Reykjavíkurborg,A-hluti,123757067100,215580155299.99997,128667955600,134607949600.00003,5876920000,96707600,91823088100,29246505200,294579700,22813435800,5092158699.999999,131136,94805141600,0.9618328551417507,0.7368201442069077,1.2819859952879171,1.7419623812335803,-5843286400.0000305,-0.04541368806826702,33633599.99996948,2.6139841768006987e-4,0.4259347896480526,0.5740652103519475,943730.6849377746,0.03957596649650971
2020,Kópavogsbær,A-hluti,41992339000,62241516000,34067273000,32460611000,1356342000,-1463309000,20249177000,5414334000,0,8298589000,2532637000,37959,36578005000,1.2326298908632927,1.0736992362141813,0.6524403124434769,1.4822112195274477,143353000,0.004207938803907198,1499695000,0.044021574606221046,0.32533232320369576,0.6746676767963042,1106255.1437076847,0.07434222868381628
2020,Seltjarnarnesbær,A-hluti,5483638400,9455778700.000002,4356640199.999999,4710929400,156118500,10081000,3972140200,869732800,222612200,1271720400,89832000,4726,4836517800,1.258685167528868,1.1101485497930266,0.683902530776419,1.7243621862448117,-344208200.00000095,-0.07900771791987804,-188089700.00000095,-0.04317310848850933,0.4200754190662266,0.5799245809337734,1160312.82268303,0.020619559081330615
2020,Garðabær,A-hluti,17461270000,33333702000,17204047000,16798407000,922581000,-596422000,15872432000,3137022000,1075607000,3957112000,1480975000,16924,15399855000,1.0149513076777807,0.8951297912636486,0.792755423652401,1.9090078785792786,-190782000,-0.011089367519165694,731799000,0.04253644505853768,0.47616769358530897,0.523832306414691,1031746.0411250296,0.08608294315866494
2020,Hafnarfjarðarkaupstaður,A-hluti,46245911000,55515462000,28857433000,28315193000,795770000,-2269164000,9269551000,8277891000,0,9233686000,423979000,29971,37968020000,1.6025649613394233,1.3157102365965816,0.89648824965458,1.2004404454266238,-1726924000,-0.0598432992983125,-931154000,-0.03226738844026771,0.16697241932346704,0.8330275806765329,1543021.954556071,0.014692193862149832
2020,Mosfellsbær,A-hluti,15527065000,21079818000,12098248000,12152950000,401859000,-586559000,5552753000,1634572000,89721000,2886539000,349434000,12073,13982214000,1.2834143423080764,1.1557222169689363,0.5662740049588798,1.3576176824145452,-641261000,-0.05300445155364644,-239402000,-0.01978815445013195,0.26341560444212564,0.7365843955578744,1286098.3185620806,0.028883025046271164
2019,Reykjavíkurborg,A-hluti,112201390300.00002,209867764809.99997,123349574870,122419719779.99998,5329220800,428429899.9999999,97666374400,23876804010,441818720,20463670400.000004,12403688600,128793,88766405010.00002,0.9096212161108036,0.7196328410823651,1.1667899034378504,1.8704560099376946,1358284990.0000153,0.011011671434064792,6687505790.000015,0.05421588033074358,0.4653710134494476,0.5346289865505525,871176.1532070844,0.10055720591718648
2019,Kópavogsbær,A-hluti,39712843000,59788795000,32880110000,30179043000,1269442000,-1203921000,20075952000,4658856000,0,8273613000,3172669000,36975,35053987000,1.207807486045515,1.06611525934676,0.5630981289552702,1.5055279472184855,1497146000,0.04553348513736724,2766588000,0.0841416893070005,0.33578117772736515,0.6642188222726348,1074045.787694388,0.09649204336603497
2019,Seltjarnarnesbær,A-hluti,5022914900,9294875900,4372657400,4455470100.000001,142681900,-12680000,4271961000,752548100.0000001,57674900,908940200,204080000,4664,4328041700,1.1487099126494567,0.9897966623225501,0.8279401659207065,1.850494401169329,-95492700.00000095,-0.02183859636476458,47189199.99999905,0.01079188138544745,0.45960387701357047,0.5403961229864296,1076954.3096054888,0.04667184765035559
2019,Garðabær,A-hluti,15715458000,31275993000,15025091000,14478401000,872204000,-449118000,15560535000,3491039000,1440227000,4263146000,1423738000,16299,13664646000,1.0459476085702244,0.9094551240987492,0.8188879761565755,1.990141999043235,97572000,0.006493937374489113,969776000,0.06454376881976955,0.4975232920662183,0.5024767079337817,964197.6808393153,0.0947573628672199
2019,Hafnarfjarðarkaupstaður,A-hluti,41130992000,48368967000,26457949000,24781270000,706257000,-1250383000,7237975000,3073004000,1197623000,8195738000,2138342000,29799,39255611000,1.5545797597538644,1.4836981883969917,0.3749514686779885,1.1759737523471352,426296000,0.016112208848841608,1132553000,0.04280577455191255,0.14964088441252013,0.8503591155874799,1380280.949025135,0.0808203991926963
2019,Mosfellsbær,A-hluti,13165571000,19133777000,11623364000,10861170000,388676000,-448600000,5968206000,1299902000,0,3487670000,1034488000,11463,11865669000,1.1326816401860942,1.0208463745951688,0.3727135881548426,1.4533191913970158,313594000,0.02697962483150317,702270000,0.0604188253934059,0.31191991001044905,0.688080089989551,1148527.5233359504,0.08900074023320616
2018,Reykjavíkurborg,A-hluti,108147541299.99998,204455630900,119791638700.00002,114611029300,4923351200,-455100399.99999976,96308089500,24650177800,344157900,20109148600,11827645900,126041,83841521399.99998,0.9027970772721383,0.6998946029110459,1.225819068242402,1.8905250035490175,4725509000.000015,0.03944773651385082,9648860200.000015,0.0805470256915353,0.47104640295822736,0.5289535970417727,858034.6181004592,0.09873515404209926
2018,Kópavogsbær,A-hluti,38557908000,57033729000,30533166000,28282069000,1259356000,-1484395000,18475821000,3840034000,0,8711170000,2848368000,35970,34717874000,1.2628205014835343,1.1370545065650906,0.44081724957726687,1.4791707319805836,766702000,0.02511046512503813,2026058000,0.06635597500763596,0.3239455200272807,0.6760544799727193,1071946.2885738115,0.09328767282108905
2018,Seltjarnarnesbær,A-hluti,3262947000,7631078000,4057538000,4353607000,161332000,32042000,4368131000,1129498000,350768000,604647000,895000,4575,2484217000,0.8041691784525493,0.6122473775969566,1.8680287837366265,2.338707309680482,-264027000,-0.06507073994131417,-102695000,-0.02530968286680248,0.5724133602093964,0.42758663979060363,713212.4590163934,2.2057710858160786e-4
2018,Garðabær,A-hluti,13380680000,28843643000,14272291000,13444585000,799467000,-385749000,15462963000,3012728000,1086304000,2661300000,1633779000,15709,11454256000,0.9375285299325805,0.8025520219563909,1.1320512531469582,2.1556186232687726,441957000,0.030966086664012106,1241424000,0.08698141034260022,0.5360960472295403,0.4639039527704597,851784.3274555987,0.11447209141125275
2018,Hafnarfjarðarkaupstaður,A-hluti,39036631000,45627552000,24887589000,22903852000,716282000,-1493504000,6590921000,3108323000,231526000,5778634000,2783675000,29412,36159834000,1.5685179870175452,1.4529263561850045,0.5378992682353649,1.1688393908787877,490233000,0.019697890382230274,1206515000,0.04847858103089054,0.14445046273795273,0.8555495372620473,1327234.836121311,0.11184992648343718
2018,Mosfellsbær,A-hluti,11444269000,17098881000,10484492000,9327391000,285471000,-453968000,5654612000,1281265000,0,2674679000,1292708000,10556,10163004000,1.0915425373017595,0.9693368071624262,0.47903505429997395,1.4940998852788239,703133000,0.06706409809841049,988604000,0.09429202673815765,0.33070070491747383,0.6692992950825262,1084148.2569154983,0.12329715164072803
2017,Reykjavíkurborg,A-hluti,98627151000,184106790000,115811385000,111284722000,4663706000,444668000,85479639000,23110416000,388370000,17960707000,9208384000,123246,75905105000,0.8516187851479369,0.6554200608169913,1.2867208401094679,1.8666948009073079,4971331000,0.04292609919137052,9635037000,0.08319593967380669,0.4642937884040018,0.5357062115959982,800246.2635704201,0.0795119063639555
2017,Kópavogsbær,A-hluti,36874583000,54345967000,28613615000,26055207000,1217697000,-1297037000,17471384000,4566751000,0,7252914000,2776717000,35246,32307832000,1.2887075960167913,1.1291069653380044,0.6296436163450994,1.4738056020864019,1261371000,0.04408289550271785,2479068000,0.08663945467917983,0.3214844626833119,0.6785155373166881,1046206.1794246156,0.09704181034098627
2017,Seltjarnarnesbær,A-hluti,2256686000,6817593000,3706587000,3917849000,102766000,73926000,4560907000,1740318000,1050361000,787118000,44553000,4450,1566729000,0.6088312509594406,0.4226877717965341,2.2110001295866692,3.0210640736017327,-137336000,-0.03705187548545333,-34570000,-0.009326639304567787,0.6689908007122162,0.33100919928778383,507120.44943820225,0.01201995258711046
2017,Garðabær,A-hluti,11057184000,25332459000,13198901000,12208671000,706159000,-198319000,14275275000,2757693000,979378000,2737430000,1744351000,15230,9278869000,0.8377352023475287,0.7030031515502693,1.0074021984123795,2.2910407387631424,791911000,0.05999825288484246,1498070000,0.11349960121679828,0.5635171461246616,0.43648285387533836,726013.3946158896,0.1321588062521266
2017,Hafnarfjarðarkaupstaður,A-hluti,35671166000,41107514000,23485936000,21661412000,666542000,-1084952000,5436348000,4160281000,230331000,5571893000,2691991000,28703,31741216000,1.5188309292846578,1.3514988714948384,0.7466548621805911,1.1524017465535048,739572000,0.03148999469299414,1406114000,0.05987046886272704,0.13224706315249324,0.8677529368475068,1242767.863986343,0.114621405763858
2017,Mosfellsbær,A-hluti,11045618000,15621815000,9315086000,8633539000,279733000,-260512000,4576197000,1880515000,0,2722171000,1006048000,9783,9165103000,1.1857773508478613,0.9838989140840997,0.6908144271612621,1.4142997702799427,421035000,0.04519926064021309,700768000,0.07522936449540026,0.2929363201394972,0.7070636798605028,1129062.4552795666,0.10800200878445997
2016,Reykjavíkurborg,A-hluti,83765738000,160180565000,100566592000,97706097000,4493723000,-223530000,76414827000,22599960000,1132728000,14373153000,10932749000,122460,62298506000,0.8329380198147711,0.6194751632828525,1.5723731598766115,1.9122444190726284,2636965000,0.026221083438921745,7130688000,0.070905137165232765,0.4770542980666849,0.522945701933315,684025.2980565083,0.10871153911629022
2016,Kópavogsbær,A-hluti,37573214000,53538600000,26379935000,24443562000,1296631000,-1319151000,15965386000,4618848000,124359000,6881030000,2585210000,34140,33078725000,1.4243103328344062,1.2539350457080354,0.6712436946212994,1.424914035834145,617222000,0.023397404125521916,1913853000,0.07254957224117498,0.2982032776352015,0.7017967223647985,1100562.8002343292,0.0979991042434335
2016,Seltjarnarnesbær,A-hluti,1758054000,6415619000,3349209000,3438859000,89900000,93298000,4657565000,1599898000,435564000,428137000,271481000,4415,593720000,0.5249161817014107,0.1772717080361363,3.736883287358953,3.6492730029908067,3648000,0.001089212408064113,93548000,0.027931371258109003,0.7259728172760882,0.2740271827239118,398200.22650056623,0.08105824390176905
2016,Garðabær,A-hluti,10095904000,22989730000,12604539000,10945882000,662941000,-194360000,12893826000,2748396000,973742000,2230864000,2484514000,14717,8321250000,0.8009736809890469,0.6601788450969924,1.2319872479900165,2.277134370532842,1464297000,0.1161721979677321,2127238000,0.16876761617382435,0.5608515628500205,0.43914843714997953,686002.8538424951,0.1971126433104773
2016,Hafnarfjarðarkaupstaður,A-hluti,33988915000,38170798000,21395380000,20068253000,640649000,-1085125000,4181883000,2838963000,21959000,4153401000,2706195000,28189,31171911000,1.5886100176767133,1.4569458920570704,0.6835273068986115,1.1230366723974567,242002000,0.011310946568838694,882651000,0.041254280129635466,0.10955712793848324,0.8904428720615167,1205751.0021639646,0.1264850168587798
2016,Mosfellsbær,A-hluti,10403111000,14205446000,8430483000,7696081000,273020000,-496519000,3802335000,1272032000,18579000,2243309000,866570000,9481,9149658000,1.2339875425880107,1.085306500232549,0.5670337880336592,1.3654998009729975,237883000,0.02821700725806576,510903000,0.06060186587174187,0.2676674143142003,0.7323325856857996,1097258.8334563863,0.1027900773893975
2015,Reykjavíkurborg,A-hluti,80702059000,154479922000,91034718000,103895814000,4150801000,-774541000,73777863000,17641272000,921738000,14995303000,5211706000,121822,63982525000,0.8864975997399146,0.7028365266095513,1.1764531867078645,1.9142005038557939,-13635637000,-0.14978501938128705,-9484836000,-0.10418921712922756,0.47758868625011347,0.5224113137498865,662458.8251711513,0.05724965281926836
2015,Kópavogsbær,A-hluti,35063363000,50286522000,23049187000,21818424000,1190875000,-1452581000,15223159000,2801692000,106394000,4594068000,1516958000,33205,32368065000,1.5212407708783828,1.40430397827047,0.609849919504892,1.4341614065941137,-221818000,-0.009623680002249103,969057000,0.04204300134317102,0.3027284129930481,0.6972715870069519,1055966.3604878783,0.06581394823166647
2015,Seltjarnarnesbær,A-hluti,1729312000,6365836000,2986494000,3277236000,84586000,116695000,4636524000,1689071000,525853000,513561000,120616000,4411,566094000,0.5790441902779647,0.18955136022372723,3.2889393859736233,3.6811379323106532,-174047000,-0.058278034377433875,-89461000,-0.02995519160594329,0.7283448709643164,0.27165512903568356,392045.34119247337,0.04038715631104566
2015,Garðabær,A-hluti,10896806000,22102779000,10339055000,10102495000,601908000,-220968000,11205973000,2247433000,1004321000,2335617000,930089000,14453,9653694000,1.053946032785395,0.9337114465490318,0.9622438096657114,2.0283722588068467,15592000,0.0015080681938533067,617500000,0.05972499420885177,0.5069938490540036,0.4930061509459964,753947.692520584,0.08995880184407569
2015,Hafnarfjarðarkaupstaður,A-hluti,34410600000,38255637000,18853826000,18796174000,632187000,-1119474000,3845037000,2358874000,0,4267279000,154378000,27875,32051726000,1.8251255739816417,1.700011764190462,0.5527817609300916,1.1117398999145611,-1061822000,-0.05631864853319427,-429635000,-0.022787682457661378,0.1005090308651768,0.8994909691348232,1234460.9865470852,0.008188152367588413
2015,Mosfellsbær,A-hluti,10269928000,13675312000,7604330000,7253011000,278324000,-427750000,3405384000,941366000,17414000,2474686000,482777000,9300,9345976000,1.3505368651807588,1.2290334585689995,0.3803981596048953,1.3315879137614208,-76431000,-0.010050984110368697,201893000,0.02654974205485559,0.24901691456838426,0.7509830854316157,1104293.3333333333,0.0634871185232624
